0	title	release_year	genre	score	platfor
305	DEFCON 5	1996	Action	7	PlayStatio
306	The King of Fighters '95	1996	Fighting	5	PlayStation,Wi
307	Jumping Flash! 2	1996	Platformer	8	PlayStatio
308	Epidemic	1996	Action	4	PlayStatio
309	Philosoma	1996	Action	5	PlayStatio
310	NBA In the Zone	1996	Sports	5	PlayStatio
311	Magic Carpet	1996	Action	7.5	PlayStatio
312	Power Serve 3D Tennis	1996	Sports	2	PlayStatio
313	Resident Evil [1996]	1996	Action, Adventure	8.7	PlayStatio
314	NCAA GameBreaker	1996	Sports	6.8	PlayStatio
315	Project: Horned Owl	1996	Shooter	6	PlayStatio
316	Frank Thomas: Big Hurt Baseball	1996	Sports	6	P
317	Goal Storm	1996	Sports	7	PlayStatio
318	In the Hunt	1996	Action	3	PlayStatio
319	International Track & Field	1996	Sports	7	PlayStation,Game Boy Colo
320	Novastorm	1996	Shooter	2	PlayStatio
321	PO'ed	1996	Action	8	PlayStatio
322	NBA Jam: Tournament Edition	1996	Sports	6.5	PlayStatio
323	WWF Wrestlemania: The Arcade Game	1996	Wrestling	7	PlayStation,Sega 32
324	Williams Arcade's Greatest Hits	1996	Compilation	7	PlayStatio
325	Tetris Plus	1996	Puzzle	6	PlayStatio
326	Slam 'n Jam '96: Featuring Magic and Kareem	1996	Sports	5	PlayStatio
327	V-Tennis	1996	Sports	4	PlayStatio
328	Tokyo Highway Battle	1996	Racing	7	PlayStatio
329	Zero Divide	1996	Fighting	5	PlayStatio
330	X-COM: UFO Defense	1996	Strategy	9	PlayStatio
331	Darkstalkers: The Night Warriors	1996	Fighting	6.5	PlayStatio
332	FIFA Soccer '96	1996	Sports	7.8	PlayStatio
333	Mortal Kombat Trilogy	1996	Fighting	4.1	Nintendo 64,PlayStatio
334	Wave Race 64	1996	Racing	9.7	Nintendo 64,Wi
335	Battle Arena Toshinden Remix	1996	Fighting	5	Satur
336	Cruis'n USA	1996	Racing	4	Nintendo 64,Wi
337	Batman Forever: The Arcade Game	1996	Action	5	PlayStatio
338	Pilotwings 64	1996	Flight	8.2	Nintendo 6
339	Road Rash	1996	Racing, Action	5	PlayStation,Game Boy Colo
340	Ridge Racer [1995]	1996	Racing	7.5	PlayStatio
341	Shellshock	1996	Action	7	PlayStatio
342	SimCity 2000	1996	Strategy	7	PlayStation,Nintendo 64,Game Boy Advanc
343	Street Fighter Alpha: Warriors' Dreams	1996	Fighting	7	PlayStation,Game Boy Colo
344	The Hive	1996	Action	3	PlayStatio
345	Loaded	1996	Shooter	7.5	PlayStatio
346	NBA Live '96	1996	Sports	7	PlayStatio
347	Psychic Detective	1996	Adventure	2	PlayStatio
348	NHL FaceOff	1996	Sports	9	PlayStatio
349	NFL GameDay	1996	Sports	8	PlayStatio
350	Kileak: The DNA Imperative	1996	Action	3	PlayStatio
351	Formula 1	1996	Racing	8	PlayStatio
352	Worms	1996	Strategy	8	PlayStation,Wireles
353	Zoop	1996	Puzzle	5	PlayStatio
354	Space Griffon	1996	Action	2	PlayStation,Dreamcas
355	Tekken 2	1996	Fighting	9	PlayStation,PlayStation Portabl
356	Warhawk	1996	Flight, Action	8.7	PlayStation,PlayStation 
357	Advanced Dungeons & Dragons: Iron & Blood -- Warriors of Ravenloft	1996	Fighting	4	PlayStatio
358	Super Mario 64	1996	Platformer	9.8	Nintendo 64,Wi
359	Baku Baku	1996	Puzzle	7	Saturn,Wireles
360	The Walking Dead: The Game -- Episode 1: A New Day	1970	Adventure	8.5	Xbox 36
361	Olympic Soccer	1996	Sports	6	PlayStatio
362	Off-World Interceptor Extreme	1996	Action	4	PlayStatio
363	Gex	1996	Platformer	6	PlayStatio
364	Skeleton Warriors	1996	Action	5	PlayStatio
365	Johnny Bazookatone	1996	Platformer	5	PlayStatio
366	Mario Kart 64	1997	Racing, Action	8.1	Nintendo 64,Wi
367	Rally Cross	1997	Racing	7	PlayStation,PlayStation Portabl
368	Spider	1997	Action	6	PlayStatio
369	Grid Runner	1997	Action	6	PlayStatio
370	Virtual Pool	1997	Sports	7	PlayStatio
371	Pro-Pinball	1997	Pinball	8	PlayStatio
372	Deception: Invitation to Darkness	1997	Strategy	7	PlayStatio
373	Peak Performance	1997	Racing	7	PlayStatio
374	Independence Day	1997	Action	2	PlayStation,Wireles
375	Buster Bros. Collection	1997	Action	6	PlayStatio
376	Re-Loaded: The Hardcore Sequel	1996	Shooter	4	PlayStatio
377	Destruction Derby 2	1996	Racing	7.2	PlayStatio
378	Blood Omen: Legacy of Kain	1997	Action, RPG	8.5	PlayStatio
379	Tunnel B-1	1997	Action	6	PlayStatio
380	Doom 64	1997	Shooter	7.4	Nintendo 6
381	NHL FaceOff '97	1997	Sports	8	PlayStatio
382	Super Puzzle Fighter II Turbo	1997	Puzzle, Action	9	PlayStatio
383	NBA Hang Time	1997	Sports	5.4	Nintendo 64,PlayStatio
384	Suikoden	1997	RPG	9	PlayStatio
385	Battle Stations	1997	Strategy	6	PlayStatio
386	Nanotek Warrior	1997	Action	8	PlayStatio
387	Rush Hour	1997	Racing	6	PlayStatio
388	BRAHMA Force: The Assault On Beltlogger 9	1997	Action	7	PlayStatio
389	Vandal Hearts	1997	RPG	8	PlayStatio
390	MechWarrior 2	1997	Simulation	8	PlayStatio
391	VR Baseball '97	1997	Sports	7	PlayStatio
392	Need for Speed II	1997	Racing	6	PlayStatio
393	Samurai Shodown III: Blades of Blood	1996	Fighting	6.5	PlayStation,Wi
394	Pitball	1996	Action	5	PlayStatio
395	MLB Pennant Race	1996	Sports	5	PlayStatio
396	Tempest X3: An Inter-Galactic Battle Zone	1996	Action	8	PlayStatio
397	Project Overkill	1997	Action	5	PlayStatio
398	Crusader: No Remorse	1997	Action	7	PlayStatio
399	VR Golf '97	1997	Sports	8	PlayStatio
400	Iron Man / XO Manowar in Heavy Metal	1997	Action	3	PlayStatio
401	Disruptor	1997	Shooter	8	PlayStatio
402	Final Doom	1997	Action	7	PlayStatio
403	Twisted Metal 2	1997	Action	7.3	PlayStation,PlayStation Portabl
404	NFL GameDay 97	1997	Sports	7.8	PlayStatio
405	Jet Moto	1997	Racing	8	PlayStation,PlayStation Portabl
406	FIFA Soccer 64	1997	Sports	4.2	Nintendo 6
407	Command & Conquer (1997)	1997	Strategy	8	PlayStatio
